Rank,Name,FirstYear,LastYear,Seasons,Games,PA,HR,RBI,Runs,Hits,OPS_plus,G,O,L,D,GOLD,Tier
125,Jesús Alou,1963,1968,6,633,2347,18,174,243,626,85.4,13.8,26.0,25.3,25.0,22.0,Bronze
126,Jackie Brandt,1958,1959,2,155,530,12,60,70,129,95.9,4.0,49.0,3.0,26.5,21.8,Bronze
127,Yorvit Torrealba,2001,2005,5,220,681,13,75,76,152,89.8,4.9,33.2,10.2,41.3,21.7,Bronze
128,Steven Duggar,2018,2022,5,254,805,14,87,96,179,86.7,5.7,28.1,11.3,44.9,21.4,Bronze
129,Charlie Hayes,1988,1999,4,216,683,18,110,72,150,87.0,5.2,28.6,8.4,46.9,21.2,Bronze
130,Kelby Tomlinson,2015,2018,4,273,687,3,47,77,164,86.5,4.2,27.0,10.2,48.5,21.1,Bronze
131,Mauricio Dubón,2019,2022,4,177,522,15,58,63,125,92.5,3.8,40.8,7.1,31.4,21.1,Bronze
132,Andre Rodgers,1958,1960,3,174,583,10,57,61,123,93.9,4.0,43.9,5.3,27.0,20.8,Bronze
133,Terry Kennedy,1989,1991,3,301,918,10,73,56,209,90.8,5.4,36.7,9.5,31.4,20.8,Bronze
134,Ollie Brown,1965,1968,4,281,942,20,97,83,215,87.7,6.0,30.1,10.5,37.2,20.4,Bronze
135,Michael Tucker,2004,2005,2,244,833,18,95,109,179,93.2,6.4,42.3,5.9,21.9,20.2,Bronze
136,Bob Schmidt,1958,1961,4,310,1010,27,112,94,233,91.3,7.0,38.8,11.4,19.4,19.9,Bronze
137,Dave Marshall,1967,1969,3,187,515,3,49,49,108,91.1,3.2,38.3,5.8,31.4,19.9,Bronze
138,Aaron Rowand,2008,2011,4,509,1865,43,189,194,432,88.5,12.7,31.6,17.9,13.8,19.6,Bronze
139,Edgardo Alfonzo,2003,2005,3,390,1564,26,201,158,385,89.9,11.3,33.7,12.4,17.9,19.5,Bronze
140,Kirt Manwaring,1987,1996,10,709,2384,16,207,174,526,77.3,13.4,12.8,34.5,20.7,18.9,Bronze
141,Gorkys Hernández,2016,2018,3,296,856,17,66,99,190,86.7,5.6,27.6,9.3,34.2,18.7,Bronze
